published_time,title,text,time,location,height
"March 1, 2014",Seven die in two separate accidents,"Five people, including driver, died when the Wagon R taxi they were travelling in veered off the road and fell about 1,000 metres below the road. Except for the driver, all the passengers are of Indian origin.The accident took place a few kilometres away from Jigme Chhoeling towards Gelegphu at around 4: 30am, yesterday. They were travelling from Trongsa to Gelegphu.The RSTA officials in Gelegphu say the probable cause of the accident could be careless driving.In another accident, two people died when the truck they were travelling in met with an accident at Pelrithang in Gelegphu. There were six passengers. A passenger, who is in a serious condition, has been referred to a hospital in the bordering Indian town. Two other are being treated at the Gelegphu hospital.",[]," around 4: 30am, yesterday","1,000"
"March 4, 2014",Two die in accident,"Two men died on the spot when the Bolero they were traveling in went off the road and fell 175 meters below. The accident took place at Gomchu in Khaling, Trashigang at around 6:45 AM yesterday.Another passenger, who sustained head injuries, has been referred to Monggar Hospital.There were four people in the car, including the driver. They were travelling from Samdrup Jongkhar to Trashigang.",['around 6:45 AM']," Gomchu in Khaling, Trashigang ",Trashigang.
"July 4, 2014",Two men killed in accident,"Two men died in an accident when the tripper truck they were in went off the road and fell 35 feet below. The accident occurred at Goshi Gewog, 8 KM from Dagapela towards Dagana.Both of them succumbed to head injuries and broken ribs.At around 1pm yesterday, the tripper conductor, without the knowledge of the driver, had taken the truck for a drive. The conductor was an inexperienced driver and did not possess a license.In another accident, a DCM Truck went off the road and fell about 48 feet below at Khebesa in Dagana. The driver escaped with minor injuries. He was on his way to Dagapela from Dagana.",['around 1pm']," Goshi Gewog, 8 KM from Dagapela towards Dagana",no metre height
"June 21, 2010",Man killed in an accident in Zhemgang,A 56-year-old man died on the spot when the maruti  van he was travelling in went off the road at Chandigang in Zhemgang.The  accident occurred at around 8:30 am yesterday. Chandigang is 56 kilometres away  from Zhemgang.Five people and a child escaped with injuries. One of the injured has been referred to Yebilabtsa hospital and the rest have been referred to the national referral hospital in Thimphu.The vehicle was on its way to Tingtibi from Gongphu. The officer in charge in Zhemgang said that the cause of the accident was careless and unlicensed driving.,['around 8:30 am'], Chandigang in Zhemgang,kilo
"October 7, 2014",Accident kills five in Samdrup Jongkhar,"An accident killed five people, this afternoon, in Serthig Gewog under Samdrup Jongkhar. The driver and four passengers died on the spot. The other two are being treated at the Jomotshangkha Basic Health Unit.They were traveling from Jomotshangkha Dungkhag to Serthing Gewog, when the DCM truck they were in,  fell some 30 feet below the road.The Serthig Gup, Kencho Chopel, said the DCM was trying to negotiate a bend and steep slope when the accident occurred.The family members of the deceased have been informed.",['this afternoon'],ed ,no metre height
"June 22, 2010",4 killed in an accident,"Three men and a woman were killed on the spot when the WagonR taxi they were travelling in fell 1,100 ft below the road. The accident occurred at Lumi-tsawa in Punakha while they were travelling from Lobesa to Thimphu.Police were informed about the accident only at around 8:20 this morning by local residents. Police suspect the accident could have occurred last night.Though the search team had found only four passengers, the exact number of passenger traveling in the taxi is not known.Doctors said the four have died of severe head and  chest injuries.Police are investigating the cause of the accident.",['last night'], Lumi-tsawa in Punakha while they were travelling from Lobesa to Thimphu,no metre height
"August 1, 2010",3 killed in vehicle accident,"Three people died in an accident at Mendagang in Punakha yesterday. The Maruti van they were travelling in went off the road about 50 metres and plunged into the Pho Chu.The incident occurred at  around 1 pm. They were on their way home from Khuruthang town.Of the six passengers travelling, three survived. They are being treated at the Punakha hospital. One of the survivors has been referred to Jigme Dorji Wangchuck National Referral Hospital in Thimphu.“I could not go there directly. I first climbed on the rock, took a rope and rescued the lady first. I saw the man inside the car and took him out,” said Phub Dorji, one of the rescuers.Family members and police search team are still looking for dead bodies. It is not known whether the bodies have been washed away or drowned.Police  say negligent driving could be the cause, however, they are investigating the  case.",['around 1 pm'], Mendagang in Punakha yesterday,50
"December 4, 2014",Five die in accident,"Three women and two men died in an accident when the tractor they were travelling in went off the road about 40 metres. Fifteen others were injured. Three escaped with minor injuries.The accident happened yesterday evening at a place, which is 21 kilometres away from Gedu town towards Bongo Gewog.The five deceased and others were returning to their camp after work when the incident took place. They work for the Department of Roads under daily wage system. Seven of them are students working temporarily.The two injured have been referred to the National Referral Hospital in Thimphu for major fracture treatment.The rest were admitted in Gedu hospital yesterday evening. Most of them were discharged today.Police report says the accident was because of mechanical failure.The Dzongkhag Kidu Office, on behalf of His Majesty’s Secretariat, provided a semso of Nu.10, 000 each to the family of the deceased, this afternoon.","['yesterday evening', 'evening', 'this afternoon']"," a place, which is 21 kilometres away from Gedu town towards Bongo Gewog",40
"April 22, 2015",Principal and student killed in vehicle accident,"The principal of Konbar Primary School, Monggar and a student of Monggar higher secondary school died on the spot in a vehicle accident. The car they were travelling in went off the road at Garbaktang in Monggar, last night. The principal was driving the car. Garbaktang is just about a kilometre away from Monggar town.There were three passengers in the car. A son and the mother who survived with minor injuries is said to be in a stable condition in Monggar hospital. The cause of the accident is suspected to be due to bad road condition and foggy weather.Meanwhile, the Gyapoi Thukso of Nu. 10,000 each was given to the families of the deceased.",['last night']," Garbaktang in Monggar, last night",kilo
"August 20, 2015",Driver and handy boy killed in accident,"A 23-year-old driver and a 17-year-old handy boy died on the spot after the Tipper truck they were in fell almost 230 meters below the road in Pema Gatshel.The accident occurred at around 10 PM on Tuesday at Ani Goenpa, some 18 kilometers from Pema Gatshel town.Police and the locals were able to retrieve the bodies yesterday noon.The bodies have been handed over to their families.A semso of Nu 10,000 from Pemagatshel Kidu office were given to family members of the victims.The cause of accident is yet to be confirmed.","['around 10 PM', 'noon']",shel,confirmed.
"September 21, 2015",Five die in accident,"Five people, four male and one female, died on the spot when the vehicle they were travelling in went off the road at Wachey about 27 kilometres from Wangdue towards Trongsa, yesterday.No one knows when exactly the incident occurred but the Police in Wangdue Phodrang received the complaint only in the afternoon.The versa taxi was heading from Trongsa towards Wangdue.One the passengers, who survived, is said to be in stable condition.",[]," Wachey about 27 kilometres from Wangdue towards Trongsa, yesterday",kilo
"April 6, 2016",Man dies in accident,"A truck driver, 24, died on the spot, after a truck he was driving plunged 200 metres below the road near Rindibi, a few kilometres away from Gongphu-Panbang highway in Zhemgang, yesterday.The accident took place at 4:30 AM when he was returning from Trongsa. He was alone at the time of the accident.This is the fourth case to be reported this year.",['4:30 AM'], 4:30 AM when he was returning from Trongsa,200
"April 7, 2016",Accident kills driver in Bumthang,"A 35-year-old man died in a car accident at Ura in Bumthang, yesterday. Other five passengers sustained minor injuries and are said to be recovering at Bumthang Hospital.The accident took place at Nangkhar-Ura bypass road at around 6 PM. A commuter informed the police after seeing a Hilux hit the slope above the road.Bumthang police say drunk-driving, speeding, and excess passengers caused the accident.On behalf of His Majesty, the Kidu office in Bumthang handed over a semso of Nu 10,000 to the deceased’s family, this morning.","['around 6 PM', 'this morning']"," Ura in Bumthang, yesterday",no metre height
"April 18, 2016",Man dies in accident,"A 38-year-old LNT constructions’ employee of died after the truck he was travelling in went off the road in Wangdue Phodrang at 5 AM, today. The deceased, from Uttarakhand in India was a dam supervisor.The driver survived but sustained severe head and leg injuries. He is undergoing treatment at Bajo hospital.","['5 AM, today']"," 5 AM, today",no metre height
"May 28, 2016",Two die in two separate accidents,"A 47-year-old taxi driver died after his car went off the road in the capital, yesterday. The taxi fell more than 68 feet below the road at Taba.Of the two passengers in the car, a 43-year-old woman has been admitted to the National Referral Hospital. She is said to be in a stable condition.The other passenger escaped without any injury.Police said speeding caused the accident.Similarly in Gelegphu, a 30-year-old man died in an accident at Dawla Khola along the Gelegphu,-Zhemgang highway on May 26.The incident took at around 11 PM.  The car went off the road and hit a tree. There were two people during the time of the accident.The driver suffered minor head injuries. The cause of the accident is under investigation.Dzongkhag Kidu Offices of Thimphu and Gelegphu have handed over His Majesty’s semso to the family members of the deceased.",['around 11 PM'], Taba,no metre height
"August 2, 2016",Couple dies in car accident,"A couple from Tsento Gewog in Paro died on the spot after their vehicle fell around 100 metres off the road. The incident took place at around 1.30 PM in Shaba Gewog in Paro, today.The couple also had their three-year old child with them, who survived the accident. The victims were on their way from Thimphu to Paro.Officials have been unable to ascertain the exact cause of the accident.",['around 1.30 PM'], around 1,100
"October 5, 2016",Indian biker dies in an accident,"An Indian tourist, 31, from Guwahati died on the spot after his motorbike skidded and went under the front wheel of a truck.Police said the incident took place at Takti along the Thimphu-Phuentshogling highway last evening.His wife, who was riding with him, is recovering at the Phuentshogling hospital.The couple was travelling towards Thimphu.The body has been handed over to the relatives, today.Police said slippery road due to rain caused the accident.On behalf of His Majesty The King, the kidu office in Chhukha gave a semso of Nu 10,000 to the victim’s relatives.",[],i died on the spot after his motorbike skidded and went under the front wheel of a truck,no metre height
"November 22, 2016",Bus accident kills a man and injures nine,"A 29-year-old man died on the spot when the bus he was driving fell off the road, 14 kilometres from Trongsa towards Wangdue Phodrang at 2 PM, today.Nine other passengers sustained some injuries and are being treated at Trongsa hospital.  They are said to be in a stable condition and will be kept overnight for observation.All of them are the employees of Tangsibjee Hydro Electric Project.They were going to another site from the surge shaft of the project when the accident happened.Police suspects mechanical failure to be the cause of the accident.","['2 PM, today', 'overnight']"," 2 PM, today",kilo
"December 26, 2016",Bhutanese nun dies in an accident in India,"A 53-year-old Bhutanese nun died after a truck hit her while crossing road in Bihar, India.The incident took place at 6:00 AM today when the bus she was travelling in stopped for a while at one of the bus terminals in Bihar.Sources say the nun was on her way to Bodh Gaya with other 45 pilgrims in a private passenger bus.Her body is yet to be brought back into the country.",['6:00 AM'], 6:00 AM today when the bus she was travelling in stopped for a while ,no metre height
"February 3, 2017",Man dies in an accident,"A 29-year-old man, from Trashi Yangtse, died after the truck he was driving fell about 110 metres below the road at Jogedara under Gakiling Gewog in Sarpang on Wednesday night.The deceased was travelling alone, carrying 12 metric ton of cement to Punatsangchhu.Police suspects drunk driving as the cause of the accident.Meanwhile, the body has been handed over to relatives, yesterday.",['Wednesday night'], Jogedara under Gakiling Gewog in Sarpang on Wednesday night,110
"February 13, 2017",Man dies in a vehicle accident,"A 43-year-old man died on the spot when the Bolero vehicle he was driving went off the road near Pam village under Tsamang Gewog in Monggar.The vehicle fell 150 metres below the road.The mishap occurred at around 6 PM yesterday.The deceased, accompanied by his wife was travelling from Upper Gangtok to Pam when the accident occurred.The deceased’s wife was admitted at the Monggar Regional Referral Hospital. Police suspect narrow road to have caused the accident.",['6 PM'], around 6 PM yesterday,150
"March 3, 2017",One missing and three killed in an accident,"Police and locals are still searching for the seven-year-old boy, missing after the bolero pickup truck he was travelling in veered off the road in Chhumig, Bumthang.The accident took place along the Ura-Nangar bypass, yesterday night.The boy was travelling with his parents and a sister. Three of them died on the spot.They were on their way to Choongphel from Nimalung monastery. Police suspect speeding as the cause of the accident.",['night'],no location info,no metre height
"March 12, 2017",Heavy snowfall causes several accidents in Thimphu,"Yesterday’s snow, the heaviest in the recent memory, has wreaked minor havoc on Thimphu roads. A total of seven car accidents were reported in the capital yesterday with an accident in Simtokha claiming a life.Thimphu Traffic Police say while some accidents were caused by the slippery road condition, others were caused by people driving under the influence of alcohol. Some cars suffered minor damage after they were hit by huge chunks of snow falling from the roofs.In Langjophaka, landslides triggered by the snowfall, have caused major damage to two houses. The occupants said the incident took place around 3:30 in the afternoon. However, there were no casualties.Yesterday’s heavy snowfall also forced the closure of the ongoing Mega Fair organised by RENEW at the Changlimithang after several stalls collapsed. While the stalls are being repaired, all the merchandise has been moved to the Bhutan Olympic Committee building.Police are cautioning people to be extra cautious on the road as the wet weather continues.",['3:30 in the afternoon'], the Changlimithang after several stalls collapsed,no metre height
"April 2, 2017",3 killed in accident,Two men were killed on the spot in a car accident in Thrimshingla. The mishap took place Friday evening around 6. The Hilux they were travelling in went off the road.The driver survived with injuries. He is being treated at the Monggar regional referral hospital and is reported to be in stable condition. Police say the accident could have been caused by bad weather condition.Another man has died in a separate accident yesterday morning in Monggar. The DCM truck he was driving veered off the road in Zangdari village under Nagtshang Gewog in Monggar. The accident is thought to have been caused by mechanical failure.,['morning'],ed ,no metre height
"April 7, 2017",Accident claims two lives,"Two men, including driver died on the spot after a Bolero they were travelling in veered off the road near Wamrong in Trashigang.The accident occurred at around 9:30 PM last night.Another person who was injured is being treated at the Riserbu General hospital.Including the driver, all three people from Moochhu village under Lumang Gewog in Trashigang were returning home after work at Wakhar.The cause of the accident is yet to be ascertained.",['around 9:30 PM last night'], around 9:30 PM last night,no metre height
"April 21, 2017",Man dies in vehicle accident,"A 28-year-old man from Paro, died on the spot, when the car he was travelling in, went off the road, at Trongsa on Wednesday night.The man died due to head injury.The incident, took place few hundred meters, before reaching Trongsa town.The mishap occurred, when the deceased, along with his three friends were returning after a dinner.One of the friends, who was air lifted to Thimphu, is said to be in stable condition.",['night'], Trongsa on Wednesday night,condition.
"April 29, 2017",Accident claims a life,"A 31-year-old taxi driver died on the spot after the taxi veered off the road and fell 90 metres at Wangsisina under Maedwang Gewog in Thimphu.The taxi was heading towards Thimphu from Chhukha when the accident happened yesterday night.According to the police, the deceased was alone and suspect speeding to have caused the accident.",['yesterday night'], Wangsisina under Maedwang Gewog in Thimphu,90
"May 12, 2017",Accident claims a life,"A 45-year-old man from Tsirang died on the spot after the Tipper truck he was driving veered off the road at Dungna in Chhukha, yesterday.The incident occurred 41-kilometres away from Phuentshogling town at 10:30 last night.The truck went off the road and fell 150 metres below the road. The deceased was alone during the accident.Police suspect careless driving to have caused the accident.",['10:30 last night']," Dungna in Chhukha, yesterday",41-kilo
"May 16, 2017",Man dies in accident,"A 32-year-old taxi driver has died on the spot after the taxi he was driving fell 150 metres below the road at Susuna in Nagya Gewog, Paro.The accident took place around 4:45 pm yesterday. The deceased was on his way from Thimphu to Haa and was all by himself.He was from Wangbama in Thimphu.",['around 4:45 pm']," Susuna in Nagya Gewog, Paro",150
"May 18, 2017",Road accident claims another life,"A 67-year-old man from Wangdue Phodrang has died in a car accident. The accident took place last night at Watsa in Chhukha.The deceased was alone and was on his way to Thimphu from Phuentshogling. Police suspect sleep driving or fatigued driving to be the cause of the accident.This is the second accident death reported this week. On Monday, a 32-year-old taxi driver died on the spot in an accident in Paro.The deceased was from Wangbama in Thimphu. He was on his way to Haa from Thimphu and was driving alone when the accident took place.",['last night'], W,no metre height
"May 19, 2017",Accident claims two lives,"Two forest officials died in a car accident last night at around 9 PM at Tongmajangsa in Trashi Yangtse.According to Police, the car went off the road about 250 metres.There were three passengers including the driver when the mishap took place.They were returning from Tongmajangsa to Doksum. The other forest official escaped with severe injuries and is currently undergoing treatment at Trashigang hospital. Health officials say he is in stable condition.The cause of the accident is yet to be known.","['last night', 'around 9 PM']", around 9 PM ,250
"May 30, 2017",Major cause of accidents on Thimphu-Phuentshogling highway: human error,"Speeding, carelessness and fatigue are the main causes of accidents along the Thimphu-Phuentshogling highway.Police records confirm over 100 accidents along the highway in the last five months. Over 75 of them were due to human error. Bad weather conditions in Jumja and Gaeddu regions were also a factor in the crashes.Every day, hundreds of vehicles travel along the Thimphu-Phuentshogling highway, one of the busiest in the country. Most of the accidents are reported on the stretch between Wangkha and Kamji.Police officials in Phuentshogling advise motorists to be extra cautious.“If people drive slowly and carefully, I do not see any reasons for accidents,” said Wangchuk La, the Police Superintendent in Phuentshogling. “Most of the accidents are all because of human behaviour.”Mechanical problems such as brake failure and steering lock are very rare, he added. “I therefore urge people to control their speed and drive safely.”Police say drivers speed along this highway because of the smooth, wide road.",[],igue are the main causes of accidents along the Thimphu-Phuentshogling highway,no metre height
"June 14, 2017",Demand for blood soars due to increased accidents and diseases,"The Health Minister Tandin Wangchuk said Bhutan has seen an increase in the requirement of blood due to increase in road fatalities, chronic non-communicable diseases, and other health issues.These medical cases require multiple blood transfusions as part of the patient management.Lyonpo Tandin Wangchuk shared this health concern at the World Donor Day event in Thimphu today.“The need for blood is on the rise since apart from road accidents, we have cases of pregnancy and child birth-related complications,” added the minister.Also, Bhutan being located in an area prone to natural hazards, emergency plan for blood transfusion needs to be in place.Today,  on an average, the National Referral Hospital in Thimphu, which sees the maximum number of blood transfusion cases, requires 30-40 units of blood every day.  The country needs some 10,000 units of blood annually.Currently, Bhutan has achieved 77 percent in terms of blood donations from voluntary non-remunerated blood donors. It aims to reach 100 percent by 2020.At the event, the blood donation campaign was organised where about 109 units of blood were collected. The National Blood Transfusion website and a motivational video on blood donation were also launched at the occasion.",[],"alities, chronic non-communicable diseases, and other health issues",no metre height
"June 16, 2017","One dead, two injured in accident","A 34-year-old man died after the ambulance he was driving went off the road at Tapkang-yoe under Orong Gewog in Samdrup Jongkhar, this morning.The area is about 38 kilometres from Samdrup Jongkhar towards Trashigang.While the driver died on the way to Dewathang hospital, one of the  two passengers injured was further referred to the Samdrup Jongkhar hospital due to critical condition.The ambulance of Pemagatshel Dzongkhag was travelling to Thimphu via Samdrup Jongkhar.Police suspect bad weather to have caused the accident. The vehicle fell almost 200 metres below the road.",['this morning']," Tapkang-yoe under Orong Gewog in Samdrup Jongkhar, this morning",kilo
"July 7, 2010","Bus accident in Bumthang, passengers escape unhurt","A public transport bus travelling from Trashigang to Thimphu went off the road at Dungbithang in Bumthang at 12:45 am yesterday. Fortunately, most of the passengers escaped unhurt.RSTA officials in Bumthang said the bus while reaching Mongar had given some mechanical problems and after fixing it, was travelling through the night.The officials say public buses are strictly prohibited from travelling late hours and this one was not an exception.The bus went off the road when the driver was trying  to avoid the two cows sleeping on the road.However, soon after the accident, officials from Regional Gyalpoi Zimpon office in Bumthang, police and Dzongkhag officials reached the spot and helped the passengers.While most of the passengers escaped unhurt, two were badly injured and were referred to the National Referral Hospital in Thimphu this morning.Meanwhile, passengers were provided accommodation at a hotel by the officials. They also arranged a bus and a DCM truck to continue their journey to Thimphu this morning.According to Phub Tenzin, base in-charge, a written warning would be issued to the driver so that he would not repeat in the future.","['12:45 am', 'the night', 'late hours', 'this morning', 'this morning']", Dungbithang in Bumthang ,no metre height
"August 1, 2017",2 killed in two separate car accidents,"The Gewog Agriculture Extension Officer of Tsirang Toe succumbed to injuries after he was referred to the National Referral Hospital in Thimphu.He was travelling, along with another man, from Tsirang Toe to Damphu Sunday evening when the accident took place.In Monggar, a five-year-old girl died on the spot, when a Bolero went off the road at Khalangzi Sunday evening. The four other passengers escaped with minor injuries and are said to be in stable condition.They were travelling to Monggar from Thridangbi, at the time of the accident.","['evening', 'evening']",ional Referral Hospital in Thimphu,no metre height
"August 31, 2017",Man dies in bolero accident,"A 42-year-old man from Samdrup Jongkhar died shortly after arriving at Dewathang hospital after the bolero he was travelling in went off the road in Wangphu Gewog.The accident took place some 28 kilometres away from Narphung village towards Yarphu, yesterday.The private bolero, carrying three passengers including the driver, fell about 200 metres below the road.The driver and a passenger, escaped with minor injuries.Narrow road and foggy weather are said to have caused the accident.",[], Dew,kilo
"September 1, 2017",Planting bamboo to prevent vehicle accidents,"To prevent deaths resulting from vehicle accidents, students of Pema Gatshel Dzongkhag planted bamboo along the roadside.Some eight hundred students planted bamboo along the roadside slopes in the Dzongkhag. Over one hundred kilometres of the road stretch including Gewog centre roads were covered.“We heard and learned numerous accidents, claiming lives of many,” said the Assistant District Education Officer (DEO), Yeshey Wangmo, who initiated the programme. “So we thought why not come up with such initiative,” she added.The Assistant DEO said planting bamboo helps to reduce soil erosion and dust pollution from the speeding vehicles.More than 1500 bamboo covering some 115 kilometres of road were planted.",[],"hs resulting from vehicle accidents, students of Pema G",kilo
"September 8, 2017",Man dies in Tipper accident,"A 39-year-old man died on the spot in a vehicle accident yesterday at Orong Gewog in Samdrup Jongkhar.The Tipper truck, carrying six passengers including the driver, fell some 15 feet below the road.Three passengers sustained head injuries and are currently receiving treatment at Dewathang hospital. The remaining two are said to be in stable condition.The Dzongkhag Kidu office in Samdrup Jongkhar granted Semso to the deceased’s family.",[], Orong Gewog in Samdrup Jongkhar,no metre height
"September 16, 2017",More than 80 lives lost in road accidents,"The Road Safety and Transport Authority (RSTA) recorded more than 700 vehicle accidents from 2015 to June last year. The accidents have claimed 86 precious lives.RSTA says most of the accidents were caused by drink driving and reckless driving. In an effort to bring down the number of road crashes, the RSTA officials from Gelegphu, Tsirang and Dagana came together to conduct road inspections.They began on Monday from Tsirang. Over 300 vehicles were checked and some 15 drivers were fined, some for drink driving and others for unlicensed driving and carrying excess people.Over the five day programme, the officials also educated the drivers on road safety rules and regulations.The team will carry such inspections every month in the districts that fall under the jurisdiction of the RSTA Gelegphu Regional Office.",[],ed the drivers on road safety rules and regul,no metre height
"September 16, 2017",Man dies in accident in Monggar,A 52-year-old forest official has died on the spot in an accident in Monggar. The Maruti car he was driving fell about hundred metres below a road in Kengkhar.The accident happened yesterday afternoon. He was alone and was travelling from Gyalpoizhing to Kengkhar during the time of mishap.Police suspect sleep driving to be the cause of accident.,['yesterday afternoon'],no location info,hundred
"September 22, 2017",Officer Commanding of Gaeddu suspended after being involved in accident,"The Royal Bhutan Police (RBP) have suspended the Officer Commanding of Gaeddu for his involvement in a pool vehicle accident on the night of September 16.Also, various other disciplinary actions have been recommended against the officer. The investigating team from RBP headquarter in Thimphu submitted its report yesterday.In line with the Service Rules and Regulations of RBP, the team recommends a punishment transfer of the concerned officer to a remote place and be reprimanded for his misconduct. He had driven the pool vehicle under the influence of alcohol during the incident. The Toyota Hilux, with two other passengers, went about 48 feet below the road near the Gaeddu College of Business Studies. However, no casualties reported.The Officer Commanding will also have to bear the cost of repairing the vehicle which amounts to Nu 643,000. The Chief of Police said, as an employee of a law enforcement agency, such misconduct is unacceptable. He justified that there was no need for the officer to drive the vehicle since there is a designated driver. This case, the Chief added, should serve as a reminder for other officers as well.RBP launched an investigation into the case following its reports on social media. The posts mentioned that to hide the incident, the damaged pool vehicle was covered with a tarpaulin sheet at the accident spot. The vehicle was recovered two days after the incident.",['the night of September 16.Also'],ing team from RBP headquarter in Thimphu submitted its report yesterday,no metre height
"December 16, 2011",Man dies in accident,"A forty four-year-old man has been killed on the spot when the DCM truck he was travelling in went off the road at Lampelri.The accident occurred at around 2.30 am today.Including the driver, there were four people in the DCM truck. They were on their way to Phobjikha from Phuentsholing.The driver escaped unhurt.The two other passengers suffered minor injuries and have been referred to the national referral hospital.Police suspect the cause to be negligence and carelessness on the part of the driver.",['2.30 am'], Lampelri,no metre height
"December 23, 2011",3 killed in vehicle accident,"Three people were killed in a vehicle accident last evening. The accident took place about 29 kilometres from Samdrup Jongkhar towards Trashigang. The driver, 31, and the owner of the vehicle, 51, were killed on the spot along with a women passenger.The Mahindra jeep they were travelling fell some 800 feet below the road. They were on their way to Pemagatshel.Our reporter, Kinzang Yeshi, says that there were six people in the vehicle including the driver.The three others are seriously injured and admitted in Dewathang Military hospital.One of the critically injured is an Indian National working as a teacher at Khothakpa Primary school in Pemagatshel.He is referred to Mongar Regional Referral Hosptial. Police said the probable cause of the accident could be due to over loading.",['last evening'],shel,kilo
"January 12, 2012","Two accidents, two men killed","Two men were killed in two separate accidents this morning.In Bumthang, a 33-year-old man was killed on the spot in a bus accident at around 8.30am, at Tashipokto, nine kilometers towards Trongsa from Bumthang.Sources said the bus skidded on a stretch of ice covered road. Two passengers sustained minor injuries. The others escaped unhurt. There were 19 passengers in the bus.In another accident in Haa, a 23-year-old man was killed on the spot at around 7.30 am.The accident took place at Jaba Susuna, some 30 kilometres from Chunzom towards Haa. The car he was travelling in skidded on the icy road and veered off the road.Four other people have been injured. They are undergoing treatment at the National Referral Hospital in Thimphu.Road Safety and Transport Authority officials are cautioning commuters to take extra care while driving along icy roads.","['this morning', '7.30 am']",e accidents this morning,kilo
"January 15, 2012",Accident claims four lives,"Four people including one woman were killed in a vehicle accident in Samdrup Jongkhar yesterday.The accident occurred at around 1 pm at Lamsarong, about 24 kilometers from Samdrup Jongkhar.There were five people in the vehicle including the driver who is critically injured. He has been referred to a hospital in Guwahati in Assam, India.They were on their way to Wooling from Samdrup Jongkhar. The vehicle veered off the road and plunged about 800 metres below.The cause of the accident is being investigated.",['around 1 pm'], around 1 pm ,800
"October 26, 2017",Thimphu sees highest number of vehicle accidents,"Thimphu recorded the highest number of motor vehicle accidents in the country in between January 2016 and June this year. Figures with the Road Safety and Transport Authority (RSTA) show, of about 1,100 vehicle accidents reported during the time frame, 70 per cent occurred in the capital.Bad road conditions, weather and human error, which includes speeding, drink driving, carelessness and un-licensed driving, were the major causes of vehicle accidents.“Looking after road safety is not just the responsibility of RSTA or the traffic police, the responsibility fall on each individual. If they drive carefully, then naturally, the road casualties will reduce,” said Karma Pemba, Chief Transport Officer of RSTA.Globally around 1.2 million people die every year and 50 million are injured in road traffic crashes. In Bhutan, there were around 105 deaths and 355 injuries in 2016. This year, until June, 50 deaths and 162 injuries were reported due to vehicle accidents.In light of such happenings, the RSTA has adopted an international road safety action plan. It includes five pillars of improving road safety management, ensuring safer roads and vehicles among others.“We ensure through regular fitness inspections that older vehicles do not ply on the road because these will again lead to more accidents and crashes. The first priority we give is to save lives,” added Karma Pemba. “Once the accident happens, we hastily coordinate with the Health Ministry and save lives and then focus on severe injuries.”The authority has also provided refresher course on road safety and traffic discipline to over 5,000 people across the country.Today, there are close to 90,000 vehicles in the country.",[],"her and human error, which includes speeding, drink driving, carelessness and un-licensed driving, were the major causes of vehicle accidents",no metre height
"December 7, 2017",Family of five dies in accident,"A family of five has lost their lives in a tragic road accident in Monggar. The accident took place around 10 am yesterday in Kengkhar Gewog.They were returning to Thimphu from Kengkhar after attending the 21-day ritual of a deceased family member when the mishap happened.The Santro car they were travelling in veered off the Kengkhar Gewog Centre road, killing all five family members- two men and three women- on the spot.The cause of the accident is yet to be ascertained. Their bodies have been handed over to the relatives.",['10 am'],tending the 21-day ritual of a deceased family member when the mishap happened,no metre height
"December 9, 2017",Man dies in accident in Monggar,"A 32-year-old man from Khaling in Trashigang has lost his life in a vehicle accident in Monggar. The accident took place yesterday around 6 in the evening.He died on the spot after the truck he was driving toppled on the road at Ridaza, a few metres away from Monggar town. There were two other people in the truck but they managed to escape unhurt.They were headed to Kurizam when the mishap occurred. The deceased was a machine operator with a private construction company.The cause of the accident is yet to be determined.",['6 in the evening']," Ridaza, a few metres away from Monggar town",few
"December 21, 2017",Former Health Secretary dies in car accident,"The Former Health Secretary Dr. Dorji Wangchuk and his wife died in a road accident this afternoon in Thimphu.The accident took place at Lamdru, about three kilometres away from Khasadrupchhu towards Chudzom. The couple was in their sixties.According to the police, the couple was heading towards Paro with their 13-year-old granddaughter. However, the granddaughter escaped with some bruises. The car went off the highway and fell about 100 metres. The cause of the accident is being investigated.",['this afternoon']," Lamdru, about three kilometres away from Khasadrupchhu towards Chudzom",kilo
"January 4, 2018",Accident claims lives of 2 on the spot,"Two men died on the spot when the machinery trailer they were travelling in went off the road and fell approximately 60 metres below the road. However, a driver escaped with relatively minor injuries.The accident took place at around 1:30 PM yesterday, at Chompa, about 14 kilometres away from Monggar town towards Samdrup Jongkhar. The driver is currently receiving treatment at the Monggar Hospital. Police are investigating the case to ascertain the cause of the accident.",['around 1:30 PM'],ely 60 metres below the road,60
